user_id,timestamp,opportunity,ms_first_response,original,tutor_mode,answer_type,type,skill,correct
78587,313970,1,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313971,2,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313972,3,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313973,4,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313974,5,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313975,6,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313976,7,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313977,8,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313978,9,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313979,10,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313980,11,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313981,12,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313982,13,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313983,14,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313984,15,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313985,16,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313986,17,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313987,18,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313988,19,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313989,20,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313990,21,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313991,22,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313992,23,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313993,24,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313994,25,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313995,26,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313996,27,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313997,28,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313998,29,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,313999,30,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314000,31,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314001,32,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314002,33,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314003,34,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314004,35,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314005,36,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314006,37,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314007,38,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314008,39,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314009,40,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314010,41,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314011,42,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314012,43,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
78587,314013,44,66934,1,tutor,algebra,MasterySection,Volume Rectangular Prism,1
